,employer,link,location,position_title,salary
10,Seaspan Ship Management Ltd.,http://ca.indeed.com/rc/clk?jk=877fae9483d8a538&fccid=f6ffccbee7ac493d&vjs=3,"Vancouver, BC",Data Scientist,
11,Vineland Research and Innovation Centre,http://ca.indeed.com/company/Vineland-Research-and-Innovation-Centre/jobs/Research-Scientist-272ddc4d437c4669?fccid=0269712fbd44fe5d&vjs=3,"Vineland Station, ON","Research Scientist, Robotics Machine Learning & Artificial I...","$75,000 a year"
12,MarkiTech,http://ca.indeed.com/rc/clk?jk=01d655d9596f01d0&fccid=f57b07f6738cc6b0&vjs=3,"Toronto, ON",Data Scientist / Engineer,
13,Hatch,http://ca.indeed.com/rc/clk?jk=022194a6f08b395c&fccid=0ac3b933f5c5f8e3&vjs=3,"Mississauga, ON",Data Scientist,
14,Acerta Analytics Solutions Inc,http://ca.indeed.com/rc/clk?jk=548107d5f4b0a123&fccid=60243b7c439e1cdd&vjs=3,"Kitchener, ON",Data Scientist,"$90,000 - $100,000 a year"
19,Geotab,http://ca.indeed.com/rc/clk?jk=8b77159487069f52&fccid=31921a4bf53a6026&vjs=3,"Oakville, ON",Data Scientist,
20,Loopio,http://ca.indeed.com/rc/clk?jk=60ca003c0b7142c8&fccid=84a3fb2dd32764f4&vjs=3,"Toronto, ON",Data Scientist,
21,Visual Defence Inc,http://ca.indeed.com/company/Visual-Defence-Inc/jobs/Junior-Data-Scientist-6c3f2dc463a7a6e6?fccid=2540fa8edcb88f6a&vjs=3,"Richmond Hill, ON",Junior Data Scientist,"$45,000 - $55,000 a year"
22,Perennial Inc.,http://ca.indeed.com/company/Perennial-Inc./jobs/Data-Scientist-1796de8975273834?fccid=28bde31688f84930&vjs=3,"Bolton, ON",Data Scientist,"$69,385 - $84,804 a year"
23,McAfee,http://ca.indeed.com/rc/clk?jk=1be320907491bf2a&fccid=800f11c47014effe&vjs=3,"Waterloo, ON",Data Scientist,
24,Pet Cancer Fund,http://ca.indeed.com/company/Pet-Cancer-Fund/jobs/Manager-191c8e79470427c1?fccid=9cb0f05fa23b2623&vjs=3,"Toronto, ON","Manager, Data Analytics (Volunteer)",
25,TELUS,http://ca.indeed.com/rc/clk?jk=6cfcc173c607444c&fccid=4512634d9e7338a8&vjs=3,"Toronto, ON",Data Scientist,
26,Juno College,http://ca.indeed.com/rc/clk?jk=81cd0f5c9965aed4&fccid=703961dd78d05034&vjs=3,"Toronto, ON","Lead Educator, Data Science","$85,000 a year"
27,Stantec,http://ca.indeed.com/rc/clk?jk=d20604db42f358ae&fccid=f1582c464db8553b&vjs=3,Canada,"Data Engineer & Scientist, Digital Services",
28,EXFO,http://ca.indeed.com/rc/clk?jk=c5ea013ea16975bd&fccid=aed940ca07a7584d&vjs=3,"Montréal, QC",Data Scientist,
29,Vanguard,http://ca.indeed.com/rc/clk?jk=2dc8d4ed5d532581&fccid=510aa29fcf8f87d9&vjs=3,"Toronto, ON",Principal Data Scientist,
30,Laserbody M.D.,http://ca.indeed.com/company/Life-Clinic/jobs/Data-Analyst-Business-Intelligence-Analytic-73d194581609da39?fccid=c65e0a3cefd240a4&vjs=3,"Brampton, ON",Data Analyst – Business Intelligence & Analytics,
31,RBC,http://ca.indeed.com/rc/clk?jk=bc24cd8ea4e39c26&fccid=537b899e30af3338&vjs=3,"Toronto, ON",Data Analyst - AI,
32,Indigo Park,http://ca.indeed.com/company/Indigo-Park/jobs/Data-Scientist-721e6defafaf41b7?fccid=f83a9d9f01608345&vjs=3,"Toronto, ON",Data Scientist,
33,Prodigy Game,http://ca.indeed.com/cmp/Prodigy-Education,,"Data Engineer, Game",
34,Cyber Chasse,http://ca.indeed.com/rc/clk?jk=5a59f2189f7d47ae&fccid=fb556c90cb9bdb1a&vjs=3,Canada,Data Science,
35,Genworth Canada,http://ca.indeed.com/rc/clk?jk=014f8b67ae6f7898&fccid=bf4f333dc99b55e9&vjs=3,"Oakville, ON",Data Scientist,
36,Restaurant Brands International,http://ca.indeed.com/rc/clk?jk=2b939cadc0e1d67e&fccid=1bf77f1dd2c2631f&vjs=3,"Toronto, ON","Data Scientist, People Analytics",
37,Hach,http://ca.indeed.com/rc/clk?jk=bdf5d95be72e8a65&fccid=7211d6a9510d11db&vjs=3,"Vancouver, BC",Data Science Co-op,
38,Stradigi AI,http://ca.indeed.com/rc/clk?jk=91200588a8169604&fccid=44d22360b9426d3e&vjs=3,"Montréal, QC",Data Scientist,
39,Profitable Software Inc.,http://ca.indeed.com/company/Profitable-Software-Inc./jobs/Junior-Data-Scientist-74b50cb35d92642e?fccid=186fe95f7a7405ec&vjs=3,"Vancouver, BC",Junior Data Scientist,
40,Kabam,http://ca.indeed.com/rc/clk?jk=f6d128507d45e87a&fccid=fde47f06a6b44d5e&vjs=3,"Vancouver, BC",Data Scientist,
