,employer,link,location,position_title,salary
314,Symend,http://ca.indeed.com/rc/clk?jk=1238d81a2e3ba0d0&fccid=d3ddd050cebd400b&vjs=3,Remote,"Manager, Analytics Platform",
315,Nvizzio Creations,http://ca.indeed.com/rc/clk?jk=34ca02fd0329e390&fccid=436b5edb4838ca5f&vjs=3,"Montréal, QC",MARKETING DATA ANALYST -EN,
316,Google,http://ca.indeed.com/rc/clk?jk=7d58eda2611b7099&fccid=a5b4499d9e91a5c6&vjs=3,"Montréal, QC","Software Developer Intern, Machine Learning, PhD, 2021",
317,TandemLaunch,http://ca.indeed.com/rc/clk?jk=ae4767a2c1f1b381&fccid=4a7bc3ecb9b00d36&vjs=3,"Montréal, QC",Mitacs Machine Learning Specialist,
318,Facebook,http://ca.indeed.com/rc/clk?jk=7bdeda86bda94788&fccid=1639254ea84748b5&vjs=3,Remote,"Software Engineer Intern, Machine Learning (PhD)",
319,Skycope Technologies Inc,http://ca.indeed.com/company/Skycope-Technologies-Inc/jobs/Machine-Learning-Engineer-2c68990f3e0738b5?fccid=d415dd26e99dfd2c&vjs=3,"Vancouver, BC",Machine Learning Engineer,"$80,000 - $120,000 a year"
320,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nXvSKvxjcqMd_eZL_F7pKhxixdExlN1fPgruFc2odEt-QthU2lkI9lBmp0FCgtZCPKtUCnbrzM7WrKjqyA4KyV0Ner2ZjRgDQp5zM6LqidwkJd5y1ROnNZ04QmPP-InGCEBPHUpN1O7TtIz90Hz5nPwtQ4owBvkoFxwVibgGGGE8JwfvZCsEH0ylQOJYrVrnoYI7Yo5j9qh2rPUJAikrz-tao41D6qd3RHWWvjEYhcbRGLKMSbvNUo1Vcd_dlYkNq&p=8&fvj=1&vjs=3,,Sr. Data Analyst,
321,AppDirect,http://ca.indeed.com/rc/clk?jk=9ffdc9d39bfa9e8e&fccid=8ee02c45d6c86fd6&vjs=3,"Montréal, QC",Machine Learning Developer,
322,Katalyst Data Management,http://ca.indeed.com/rc/clk?jk=9ea7dfd5e1d37b11&fccid=b01847e8a8190455&vjs=3,Canada,Machine Learning Engineer – OCR,
323,EPAM Systems,http://ca.indeed.com/rc/clk?jk=20ddcb1a0bff6a64&fccid=532afac41b2663f7&vjs=3,"Toronto, ON",Solution Architect (Big Data),
325,TerraSense Analytics Ltd,http://ca.indeed.com/rc/clk?jk=a736a144003adc32&fccid=22525f9b1679f14f&vjs=3,"Kelowna, BC",Machine Learning Developer,
326,Index Exchange,http://ca.indeed.com/rc/clk?jk=7086b2961145f36f&fccid=82179ab8760b598c&vjs=3,"Toronto, ON",Senior Data Engineer,
327,Slalom Consulting,http://ca.indeed.com/rc/clk?jk=a788ac66002178ed&fccid=a321096b9f1b3c50&vjs=3,"Montréal, QC",Data Scientist (Cloud technology) / Scientifique de données...,
329,Deeplite Inc,http://ca.indeed.com/rc/clk?jk=a8d09e9ba440b52f&fccid=187ebc2d25d59123&vjs=3,"Montréal, QC",Deep Learning Inference and Compiler Engineer,
331,Unity Technologies,http://ca.indeed.com/rc/clk?jk=3dbd7c5378c3f166&fccid=880e4714f2ad94a8&vjs=3,"Montréal, QC",Machine learning developer - Développeur apprentissage machi...,
333,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nPzPWBTuhAQ1m7k-05hLBTd6APyD_psyB1tlqstl8uF-ueJsNsr3Np9l9xl6KjkCEa6VhN31qLTfTM9p_h2a4vxXG1SrqajLiaWe7Ieoyv1JZCLAp1v_H9jM19LQ0IV72VMAtbGQTK8uwwAhVp--Qf4t_wckfy1Q9SbAlGxtzQ-D0Z4dnKE5vD_IkgHzVEerwg64HE7VcVG2VIa7EdqMaLshS-RNE_BN1bP8lMsQjr-cuky1sVDptHSbMKh_nnBLb&p=6&fvj=1&vjs=3,,Sr. Data Analyst,
335,"Amazon Web Services Canada, In",http://ca.indeed.com/rc/clk?jk=0c4e2d7accdade1e&fccid=fe2d21eef233e94a&vjs=3,Canada,Senior Data Scientist - AWS Professional Services,
336,Lumentum Operations LLC,http://ca.indeed.com/rc/clk?jk=424198cde396cfe1&fccid=4fbc4ebd829fd708&vjs=3,"Ottawa, ON",Intermediate Data Analyst-Tableau Developer,
338,Workday,http://ca.indeed.com/rc/clk?jk=51cc6c92d1bc3a12&fccid=9ac45d217f8342a1&vjs=3,"Victoria, BC",Software Engineer - Machine Learning,
339,Big Blue Bubble Inc.,http://ca.indeed.com/company/Big-Blue-Bubble/jobs/Business-Intelligence-Programmer-e378e76c4ce05ca7?fccid=dcb380f5130a7fa5&vjs=3,"London, ON",Business Intelligence Programmer,
340,Pinterest,http://ca.indeed.com/rc/clk?jk=428ce6461d267cb5&fccid=43014b1412e0a7b6&vjs=3,"Toronto, ON","Senior Machine Learning Engineer, Shopping Content Mining",
341,TandemLaunch,http://ca.indeed.com/rc/clk?jk=1dee791553c7ade6&fccid=4a7bc3ecb9b00d36&vjs=3,"Montréal, QC",Machine Learning & Signal Processing Specialist,
344,Teck Resources Limited,http://ca.indeed.com/rc/clk?jk=f2a596210e47dd3e&fccid=33dfaa8965cf2bf4&vjs=3,"Sparwood, BC","Specialist, Digital Analytics Deployment, Water or Tailings...",
345,Suncor Energy Services,http://ca.indeed.com/rc/clk?jk=cafe2ae1b6b7c363&fccid=e16ce774384b4169&vjs=3,"Calgary, AB",Analytics Design and Delivery Leader,
346,Micro Focus,http://ca.indeed.com/rc/clk?jk=94c8fb3d469e5729&fccid=83cbd453678ade10&vjs=3,"Ottawa, ON",Big Data Engineer - Analytics,
347,,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFhwj1mM9GcVBcW_pfSTYyg19f_-gBL6nNHx8JBphWau-vu2y-7ByCQizVBLSzosWw4eo3x6zlcdTr3jNee7kk9KJHq-S_krVf962kchTO8VKPDA8qeLjCkmKQnbI8hHpWAleXvhei9W7QFUp-VhXcje2dsH6NTSTEtypmiPireJiGThFH5-_RM_Xjjyqf4mEQ2T0cI-Go67ygSP_UYFvfuLCYh79jNm3cHI-4qam2sdfE5XkiCu2QVA05yJ2TWzwkwQHng9GqDY6Sw6tPKCYo55QQUzLnPoUVWJaQ6B-oNVbNr3ijUSZj4xFxZUUicsVN4v_hGM9sHLGlivnmeERvijdleLOtTl2iIi48iDY-XtsdvVkDaF1TvAsNTd0APjaNIAGB8F_TSuIFff-6R7qz9r_jbCoK_lT5dPXeUpztGsl9zZVJDKXX&p=5&fvj=0&vjs=3,,Cloud Data Analytics Engineer,
349,Loblaw Companies Limited,http://ca.indeed.com/rc/clk?jk=98fbb4c30809fcdd&fccid=bc30630cfcc120d4&vjs=3,"Brampton, ON",Senior Machine Learning Developer,
350,Ubisoft,http://ca.indeed.com/rc/clk?jk=2be5492a2d6f090b&fccid=237908de095b6446&vjs=3,"Montréal, QC",BI / Big Data Developer,
352,Walmart Canada,http://ca.indeed.com/rc/clk?jk=27c7f0414709b78f&fccid=822bc5d9a49270ea&vjs=3,"Mississauga, ON","(CAN) Manager, Pricing Strategy and Analytics",
354,Allstate Canada,http://ca.indeed.com/rc/clk?jk=93a81d30d09e62d9&fccid=3a71a4d2f7990a25&vjs=3,"Markham, ON",SENIOR DATA ANALYST BUSINESS INTELLIGENCE,
355,SoundHound Inc.,http://ca.indeed.com/rc/clk?jk=65d5fe1600fbcbb3&fccid=80413c126d4e4312&vjs=3,"Toronto, ON","Senior Software Engineer, Machine Learning Algorithms",
356,Grammarly,http://ca.indeed.com/rc/clk?jk=85190e0d8a77a5ad&fccid=0555014e7bce64c3&vjs=3,"Vancouver, BC","Software Engineer, Machine Learning Platform",
357,SoundHound Inc.,http://ca.indeed.com/rc/clk?jk=3fd5db5ee374e30e&fccid=80413c126d4e4312&vjs=3,"Toronto, ON","Senior Software Engineer, Machine Learning Algorithms (C++)",
358,Rocky Mountaineer,http://ca.indeed.com/rc/clk?jk=da6be8a51e409b5b&fccid=ee4a20e79ae1deeb&vjs=3,"Vancouver, BC","Junior Analyst, Analytics",
359,Deloitte,http://ca.indeed.com/rc/clk?jk=6f3f98e969faddfb&fccid=9e215d88a6b33622&vjs=3,"Toronto, ON","Senior Consultant, AI Strategy - Supply Chain & AI, Omnia AI",
360,Aritzia,http://ca.indeed.com/rc/clk?jk=815f2c897d0e6d49&fccid=230bf53df7c46c1a&vjs=3,"Vancouver, BC",Data & Analytics - Senior Data Analyst,
361,Smile.io,http://ca.indeed.com/rc/clk?jk=e658c75e617d6453&fccid=13498ebe438b4ec0&vjs=3,Remote,Senior Data Analyst,
362,Lightspeed POS,http://ca.indeed.com/rc/clk?jk=0106e96cf49feddb&fccid=d7b4244b532e625b&vjs=3,"Montréal, QC","Senior Director - Data, BI & Analytics",
363,Unity Technologies,http://ca.indeed.com/rc/clk?jk=14f8b60e57844a29&fccid=880e4714f2ad94a8&vjs=3,"Vancouver, BC","Machine Learning Intern, AI@Unity (Computer Vision and Robot...",
364,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nXRKy7YWUG50vgUriq0UpJRoRyn8PxrY5C5uRnYOMkK7k9PWKkAGUqu3I2gWo4A0FQrsH2vvXgq7Qe58hhMNVHGxe1BdLQf25YRvwFaN5OY7-Wf4BNFuDrcPyYXqmULuQtDqQecqGVwU-L_vxpHWnECmUZo2dUfv4L5yI9-2MyBndLHJl0C8qUVjsE_q2SgVQxyEmtZhuQYz4nP9lrVNKIBY17w-Lbk61AI5zId-V4M92p4_Pm5NTPYXSoBjmqihs&p=7&fvj=1&vjs=3,,Sr. Data Analyst,
365,TELUS,http://ca.indeed.com/rc/clk?jk=2b7edb160b72d2d6&fccid=4512634d9e7338a8&vjs=3,"Montréal, QC",Senior Machine Learning Engineer - Geo-Analytics,
366,Adviso,http://ca.indeed.com/rc/clk?jk=241db938fd62a115&fccid=80d267092339dc46&vjs=3,"Montréal, QC",Analytics Marketing Integrator,
367,Conexiom,http://ca.indeed.com/rc/clk?jk=b7d9f4db8f3b9b42&fccid=248e604a1629acaf&vjs=3,"Vancouver, BC",Machine Learning Developer,
368,Canexia Health,http://ca.indeed.com/rc/clk?jk=2f7ed6db444d3d4e&fccid=06fa8adce3cadc16&vjs=3,"Vancouver, BC",Machine Learning/Artificial Intelligence,
370,Etraveli Group,http://ca.indeed.com/rc/clk?jk=43e066b8ef4e781f&fccid=d76467c879ed211c&vjs=3,"Toronto, ON",Data Scientist,
371,Bonsai,http://ca.indeed.com/rc/clk?jk=1659dd3d2aa3c76f&fccid=d972edaae529d1f8&vjs=3,"Toronto, ON",Senior Data Analyst,
373,agileDSS,http://ca.indeed.com/rc/clk?jk=66559f414691353e&fccid=b9c61d63cdbdfebf&vjs=3,"Montréal, QC",Conseiller en Data Visualisation - Power Bi,
374,MindGeek Careers,http://ca.indeed.com/rc/clk?jk=acfa5b67fc6b1761&fccid=6f250882b448d8bc&vjs=3,"Montréal, QC",Sr. Data Analyst,
376,Motion Metrics International Corp.,http://ca.indeed.com/rc/clk?jk=7ba9eaaa9983093e&fccid=1b6d791144dc35d9&vjs=3,"Vancouver, BC",Machine Learning Developer (Full-time),
377,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nzrAENJF-KK1cTfPpjocdGGBb7_GgFySQ-XiGjOcminUPaB8dHMceTbVeb_CfdUK6RG1Y2GgbIUTtBMVfLv7HVMtJW0_OCI9g9deKW7iEdoNOsPVlY4j5Vot8tIhPHKfcd8Hz1z5zKr-4iku23ppdok4qbs0uapw5PqVIEP2nQFvtMcVA4-I1dKQmExcHm4rg42dMG8LtiQIdZ1MlyelV5PzdzdGs8tOvabFq3VeRXzd89zHsHKqLzm5LKWi4PWVb&p=5&fvj=1&vjs=3,,Sr. Data Analyst,
378,TD Bank,http://ca.indeed.com/rc/clk?jk=0b07fd6fb59b1e0d&fccid=d7114f1cac8d0711&vjs=3,"Toronto, ON",Senior Analytics Implementation Specialist,
379,Element AI,http://ca.indeed.com/rc/clk?jk=5e78555c50e26f41&fccid=98c522aa9024c59e&vjs=3,"Montréal, QC","Chercheuse/Chercheur scientifique, recherche appliquée - Tra...",
380,Behavox,http://ca.indeed.com/rc/clk?jk=98c5bc76e59f8b17&fccid=131bed7b726f4d12&vjs=3,"Montréal, QC",Sales Analytics and Reporting Analyst,
382,Overbond,http://ca.indeed.com/rc/clk?jk=6bac5188af41517f&fccid=571991c776701fba&vjs=3,"Montréal, QC",Post-Doctoral (Artificial Intelligence in Finance),
383,Ubisoft,http://ca.indeed.com/rc/clk?jk=31c09a41540adcc5&fccid=237908de095b6446&vjs=3,"Montréal, QC",Back-End Programmer – Machine Learning (Technology Group),
384,"AMZN CAN Fulfillment Svcs, ULC",http://ca.indeed.com/rc/clk?jk=bdb9e279d1f93d10&fccid=fe2d21eef233e94a&vjs=3,"Vancouver, BC",Senior Applied Scientist - Personalization,
385,CAE Inc.,http://ca.indeed.com/rc/clk?jk=7ad0e04b10b12f66&fccid=b839f9af280b111f&vjs=3,"Saint-Laurent, QC",Scientifique des données / Data Scientist,
386,Interac,http://ca.indeed.com/rc/clk?jk=2cdf6cfca5334d8c&fccid=d5ea893eb3db8494&vjs=3,"Toronto, ON",Analytics Engineering Senior Specialist,
387,Loblaw Companies Limited,http://ca.indeed.com/rc/clk?jk=ac368f909b899ee4&fccid=bc30630cfcc120d4&vjs=3,"Brampton, ON","Senior Analyst, Business Intelligence",
388,McGill University,http://ca.indeed.com/rc/clk?jk=c093e82aa5616fb1&fccid=367ae0b0728910f4&vjs=3,"Montréal, QC",Postdoctoral Researcher (Computational Biology and Machine L...,"$40,000 a year"
390,Jumio Corporation,http://ca.indeed.com/rc/clk?jk=2bb9e881ed0dd5c8&fccid=4010626516c5a842&vjs=3,"Montréal, QC",Machine Learning Team Lead,
391,PerkinElmer,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBy0pnRDnMyJusyxqL8SoipgPg3SpcIPOke8p4f-rf66qX19ykmjKF1CpoGTC_kXSMglN9XWkTzAWtEn0fblJHcXqmMail7by2r04mONnakF5RP1XgrE7qUYp1ljvlgzGvdwEqZ5Nfl6jONMMVUzTupMY__5V-ed-kKiYrbeg_ROvUGb8zFf-38pdGgxWGuBpNIW90mspeyJ-xKY5U_gob0Wi0r27GCx3w7CNk-3hFohDwAESWNQlqTPMDXL8EKUGrO5iYS5b8doXp6qhgzIN6-u2bXFz8VXHQmGpFV7T2hSsrsvoUrjrSwSl6lXjpKga0dNSKyjomfEKWvvG3DLsqA_DCPPy_4Q2deweXYywNFxMYN39UjEcO&p=4&fvj=0&vjs=3,,Senior Principal Machine Learning Engineer,
392,KPI Digital,http://ca.indeed.com/rc/clk?jk=5ea2de0ee70482d7&fccid=17e13c14471238f2&vjs=3,"Montréal, QC",PROJECT MANAGER,
393,Square Enix Montréal,http://ca.indeed.com/rc/clk?jk=87f5fdc8dad40851&fccid=f1c4e35cc4ebf53e&vjs=3,"Montréal, QC",Analyste de données en chef / Lead Data Analyst,
394,Aviva,http://ca.indeed.com/rc/clk?jk=b6e1fdbec02ed6da&fccid=354f4c12e3c6bd5a&vjs=3,"Markham, ON","Senior Actuarial Analyst, Commercial Insurance Predictive Mo...",
395,Semios,http://ca.indeed.com/rc/clk?jk=7f3b86abab8fe716&fccid=d84702342d4b0d8f&vjs=3,"Vancouver, BC",Computer Vision Scientist,
396,Tangam Systems,http://ca.indeed.com/rc/clk?jk=244b9a74b78866ec&fccid=34b4e9bf96447484&vjs=3,"Waterloo, ON",Software Engineer in Algorithms & Optimization for Data Anal...,
397,RideCo,http://ca.indeed.com/rc/clk?jk=c9cba11f9879ff24&fccid=e04c335ad3aed20a&vjs=3,"Waterloo, ON",Software Engineer in Algorithms & Optimization,
398,TELUS,http://ca.indeed.com/rc/clk?jk=d914334a9a7c9f97&fccid=4512634d9e7338a8&vjs=3,"Toronto, ON",Senior Cybersecurity Technology Architect – Security Analyti...,
399,IQVIA,http://ca.indeed.com/rc/clk?jk=371abe14bd581822&fccid=6b7a1dfe07e7f037&vjs=3,"Kirkland, QC",Principal Statistical Programmer (multiple areas),
400,agileDSS,http://ca.indeed.com/rc/clk?jk=8e933aeb6e29d654&fccid=b9c61d63cdbdfebf&vjs=3,"Montréal, QC",DevOps / DataOps (Big Data),
401,Techo-Bloc,http://ca.indeed.com/rc/clk?jk=b8782ba581007c73&fccid=429b653a20b59c98&vjs=3,"Saint-Hubert, QC",BI Manager,
404,ThinkData Works,http://ca.indeed.com/rc/clk?jk=4086f0aad04312ce&fccid=cc0861c00ab24001&vjs=3,"Toronto, ON","Senior Software Engineer, Machine Learning",
405,Cymax Stores,http://ca.indeed.com/rc/clk?jk=a33a783476cba3fe&fccid=1d146178a3bad219&vjs=3,"Vancouver, BC",Data Analyst,
406,,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFhwj1mM9GcVBcW_pfSTYyg19f_-gBL6nNHx8JBphWau-vu2y-7ByCQizVBLSzosWw4eo3x6zlcdTr3jNee7kk9KJHq-S_krVf962kchTO8VKPDA8qeLjCkmKQnbI8hHpWAleXvhei9W7QFUp-VhXcje2dsH6NTSTPQ95Uh2NOHhn00bj98F_LKIjIOvOvszFSB2W_g8abhnX7vMMqgn3ybCCIDS94h7Oej0Rg6ASLkHKG3XSASeCnFcgu19anN3AVqgRjI9ZrhSh9CBE_F-RRfG-gDf4OFPl9tWVB8PNXXbsVNUVCQ4Yq-5ybO9jgSfinw899IbpdQ0hG0KhDbXhNtj_VfYiLauPvEyvX2rA92siYW5th2qDgTNFFOLJo8LcVdwG640Evov0GFqENg8GT00aJJRys0vZ4louBn0d2_OY4kzuLitFC&p=4&fvj=0&vjs=3,,Cloud Data Analytics Engineer,
408,"AMZN CAN Fulfillment Svcs, ULC",http://ca.indeed.com/rc/clk?jk=21c571fe9247f3a8&fccid=fe2d21eef233e94a&vjs=3,"Toronto, ON","Sr, Manager, Machine Learning",
410,Shaw Communications,http://ca.indeed.com/rc/clk?jk=70bee6cf3f4b5d1a&fccid=0261b4753802fd26&vjs=3,"Calgary, AB",Senior Data Analyst,
412,Cerebri AI,http://ca.indeed.com/rc/clk?jk=ad5015fad2141012&fccid=799362a2faa3b40a&vjs=3,"Toronto, ON",AI Engineer,
414,Klick Health,http://ca.indeed.com/rc/clk?jk=87215a986aac4072&fccid=832aa6ee75eceac4&vjs=3,"Toronto, ON","Director, Marketing Analytics & Integration",
415,Sia Partners,http://ca.indeed.com/rc/clk?jk=4792d1cf60a2e28d&fccid=4b32d0c68d487097&vjs=3,"Montréal, QC",Conseiller(ère) en Data Science,
418,Augmenta,http://ca.indeed.com/rc/clk?jk=aa6ca3025eec9760&fccid=e58b98011df8b83e&vjs=3,"Toronto, ON",Senior Machine Learning Engineer,
419,Overbond,http://ca.indeed.com/rc/clk?jk=cf96c5d360760498&fccid=571991c776701fba&vjs=3,"Toronto, ON","Product Manager, Fixed Income AI Analytics",
421,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nS_y55eDraTIB46bbcZwRh8QgX_rx3ZauCO8HcoSpI39l1dauRT4elGiQCNrZUt_ERyWKZUlpQXFmjmv_Kt49QI9WlEiIu9aeiH7_-JOZGMkzEI5PrWOkzk--Z1hvgJMBhKyAnzBPYALTHWEUbq-RRRvm7hpINdni6-5Q53INfAnhQQv8PAFQZ3FRfzHU3nSbcjQGEks0K1OQlFx-J6-2JWuT3x-RPVWvagn7KAynqCRNUO_cr9_C4em2yXfkcUE3&p=4&fvj=1&vjs=3,,Sr. Data Analyst,
423,Boast Capital,http://ca.indeed.com/rc/clk?jk=aee4593f521f0e68&fccid=2aeca20b468ba6df&vjs=3,"Toronto, ON",Software Engineer – AI/Machine Learning,
424,IQVIA,http://ca.indeed.com/rc/clk?jk=00aa335b99f0db8a&fccid=6b7a1dfe07e7f037&vjs=3,"Mississauga, ON",Sr Digital Analytics Engagement Manager/Architect,
425,Noise,http://ca.indeed.com/rc/clk?jk=05de0c8b964c4364&fccid=350161138adcccdd&vjs=3,"Vancouver, BC",BI/Media Analyst,
427,CPP Investments,http://ca.indeed.com/rc/clk?jk=737a07d33906bc52&fccid=dd616958bd9ddc12&vjs=3,"Toronto, ON","Lead, Data Architect (Big Data)",
428,EPCOR,http://ca.indeed.com/rc/clk?jk=023323396394962a&fccid=d3207f0d3ba5baa7&vjs=3,"Edmonton, AB","Manager, Integrated Planning & Analytics",
429,IQ Hunt,http://ca.indeed.com/rc/clk?jk=7e52770762965ec7&fccid=1aed40d20a3c18d7&vjs=3,"Toronto, ON",Web Analytics Developer,
430,University of Toronto,http://ca.indeed.com/rc/clk?jk=a69b71a747d01647&fccid=986361104086c3ae&vjs=3,"Toronto, ON",Assistant Professor - Data Science,
431,Tempo Software Inc.,http://ca.indeed.com/company/Tempo-Software/jobs/Senior-Product-Manager-d82e4e411ec862fc?fccid=d0c43a77888f7c00&vjs=3,"Montréal, QC","Senior Product Manager, Machine Learning Automation","$50,000 - $130,000 a year"
432,Wysdom.AI,http://ca.indeed.com/rc/clk?jk=e81fe0e95bdda616&fccid=c2dddba55fb89220&vjs=3,"Richmond Hill, ON",NLP/ML Developer,
433,Carleton University,http://ca.indeed.com/rc/clk?jk=ed28aeea765d74ac&fccid=4e06fa6e7a19b6a0&vjs=3,"Ottawa, ON",Assistant Professor (Data Science),
434,BMO Financial Group,http://ca.indeed.com/rc/clk?jk=2afd4062180df884&fccid=3a429036b3725efa&vjs=3,"Mississauga, ON","Senior Data Analyst, North American Risk and Collections Str...",
435,Cymax Stores,http://ca.indeed.com/rc/clk?jk=fc6a2b2c0ab87d57&fccid=1d146178a3bad219&vjs=3,"Vancouver, BC",Senior Business Intelligence Analyst,
436,,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFhwj1mM9GcVBcW_pfSTYyg19f_-gBL6nNHx8JBphWau-vu2y-7ByCQizVBLSzosWw4eo3x6zlcdTr3jNee7kk9KJHq-S_krVf962kchTO8VKPDA8qeLjCkmKQnbI8hHpWAleXvhei9W7QFUp-VhXcje2dsH6NTSStXPgGBqCJp6Te1y9jFo5hJrBO2Rgfh79VvjUPgXZcaUDz2l5C5zhg1Cdf8lBQZLY9z-WUe5xHO7ljIbYnYTYTdBggEG6ksp6PLS9z6D7Xsd6Au2GCcnYpWlCvLKl4wVmxdfRCiHZaPJXaiYCOjQgYPakk4uEbDt9QSgdHZrNDKyYehWJYlDG-D9vEFrkQjoDs2RcJPHkOIhwwZluutMdZlg0k-WK9mZK2-AmqvfDL9irntmViQEpyYGfOPKdRYD2EVrNiORvOAJc1mO3dbqI5&p=4&fvj=0&vjs=3,,Cloud Data Analytics Engineer,
437,CAE Inc.,http://ca.indeed.com/rc/clk?jk=6e63a72fcbf5fc84&fccid=b839f9af280b111f&vjs=3,"Saint-Laurent, QC",Ingénieur.e en apprentissage machine / Machine Learning Engi...,
438,Pinterest,http://ca.indeed.com/rc/clk?jk=69e1b86ded909149&fccid=43014b1412e0a7b6&vjs=3,"Toronto, ON","Machine Learning Engineer, Shopping Content Mining",
439,SoundHound Inc.,http://ca.indeed.com/rc/clk?jk=47273d46d9cec05f&fccid=80413c126d4e4312&vjs=3,"Toronto, ON","Senior Machine Learning Engineer, Speech Recognition",
440,"EUI, Electricity Operations, Transmission",http://ca.indeed.com/rc/clk?jk=12fbf2e86c5d13ec&fccid=42d93c2661e4a810&vjs=3,"Edmonton, AB","Manager, Integrated Planning & Analytics",
443,Capgemini,http://ca.indeed.com/rc/clk?jk=0bb90e2ba835f878&fccid=105ecfd0283f415f&vjs=3,"Toronto, ON",Programmer/Developer Lead - Sr Data Analyst - Visualization,
444,University of Toronto,http://ca.indeed.com/rc/clk?jk=d49ab1872c71894c&fccid=986361104086c3ae&vjs=3,"Toronto, ON",Associate Professor / Professor - Data Science Computation,
445,Unity Technologies,http://ca.indeed.com/rc/clk?jk=6ce37c810e400785&fccid=880e4714f2ad94a8&vjs=3,"Montréal, QC",Senior Machine Learning Developer / Développeur apprentissag...,
447,Cymax Stores,http://ca.indeed.com/rc/clk?jk=c43c63d81c75b795&fccid=1d146178a3bad219&vjs=3,"Vancouver, BC",Business Intelligence Analyst,
448,Oracle,http://ca.indeed.com/rc/clk?jk=efbede4ec3f33472&fccid=cd22d01053af7669&vjs=3,"Toronto, ON",Sr Software Developer - Machine Learning,
449,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01nZXjm6Gk282RZ76csB0RjRY1xaoeU54RtYSUeMa8QJBRbDJlnz3GNu6GHk-QpgD_vc6GCA7KdKayzgmPirrSMQjEshP_16i83fA4ZlXK8ijsptoH_PJz7jO9VV_HG5WJExa3eIaQ4_AcGzmwYJJfOD6MMwWSxhO6jNtBsugn3oJ6lKVmrczaobO1SnSzjIeZjovSlAlL_IoAnGP9yCfLBobNUJW-eaezErxicGXcNEksDYOREqd_948t_qDqQB1BY&p=2&fvj=1&vjs=3,,Sr. Data Analyst,
450,CGI,http://ca.indeed.com/rc/clk?jk=b7f3ac01aa79bf4d&fccid=d2841a5c0380b93d&vjs=3,"Sherbrooke, QC",Data Scientist,
451,CaseWare,http://ca.indeed.com/rc/clk?jk=a295562ad5e52212&fccid=6f250926d41bc9eb&vjs=3,"Toronto, ON",Software Developer - Data Analytics,
452,Ziva Dynamics,http://ca.indeed.com/rc/clk?jk=b76d8c58094bfd02&fccid=924e03f8f562987a&vjs=3,"Vancouver, BC",3D Machine Learning Engineer,
