,employer,estimated_salary,link,location,position_title
25,Yelp,"Estimated: $67,000 - $85,000 a year",/jobsearch/viewjob/amcXVSGIqMtet8qhhtAX6IvHNJ-2LjJUSOxWveMXLukcqvZNPFiCmA?ak=data+science&l=,— Remote,Data Scientist (Remote)
26,Onstream Pipeline Inspection Services Inc.,"Estimated: $58,000 - $79,000 a year",/jobsearch/viewjob/wCEzOGk-MCQVLGXu5rLqYn5wjqmNV80R0pHyUufe5WG3We1ZaEmJ0w?ak=data+science&l=,"— Calgary, AB",Tethered Inspection Senior Data Analyst
27,,"Estimated: $77,000 - $98,000 a year",/jobsearch/viewjob/t7EpuxhA8Txag7j3YZocS1ST1vIhS2XCvUgIMzhy3_P4pJ2Q2VKKzA?ak=data+science&l=,"— Burnaby, BC",Cloud Data Analytics Engineer
28,BRP,"Estimated: $110,000 - $130,000 a year",/jobsearch/viewjob/klYEFmlkQ2DrgByGnnV4Y8vCShzAJNAA9I0b-zhQIlgDP3XI_URxvg?ak=data+science&l=,"— Montréal, QC",Head of Finance – Retail Operations & Marketing Analytics
29,Industry Training Authority,"$70,000 - $90,000 a year",/jobsearch/viewjob/Jx_eDLAyCW8V44VliUcTb-YrB05asYFH4jSin5STbji1D49d_Pc-ow?ak=data+science&l=,"— Richmond, BC",Research & Data Analyst
30,Maya Heat Transfer Technologies,"Estimated: $84,000 - $110,000 a year",/jobsearch/viewjob/AZaqAr2b_oGb-Qi1J1QUr1HqcQc6WnLtHjYYpwn6WZ16oEnMds_UVw?ak=data+science&l=,"— Montréal, QC",Data Analytics Account Manager
31,Prodigy Game,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/PSAS14yUFQckaeW0pS_t7948RZyfOWjNlDgQSEmXmcz8mFfXtMJRow?ak=data+science&l=,"— Oakville, ON","Applied Scientist, Revenue & Modelling"
32,Achievers,"Estimated: $90,000 - $120,000 a year",/jobsearch/viewjob/AxzuFD0EM4_VRZQdcU1aMzQLVfN-TB4Jlf2RufZ-5AHy5FAJSPq2kQ?ak=data+science&l=,"— Toronto, ON",Data Scientist
33,Exiger,"Estimated: $42,000 - $56,000 a year",/jobsearch/viewjob/KHKrdJfYSAqdUqQiTCnCDIcKKV8q1MONX0fkrrW_PuPx6izoMRONUw?ak=data+science&l=,"— Toronto, ON",Junior NLP Data Researcher
34,Lighthouse Labs,$30 - $50 an hour,/jobsearch/viewjob/1nLcoWmQRApmVEBJ3swRUEvZPH7PNBrtAQoKqxUwo_xK4lUUXubUDw?ak=data+science&l=,"— Toronto, ON",Remote PT Data Science Mentor
35,NorthOne,"Estimated: $75,000 - $110,000 a year",/jobsearch/viewjob/Q_PH7-4yWc42FADTwso8OgmXIn_8O1Dd_Qtn_TN4aYLhsoHpsKO0fA?ak=data+science&l=,"— Toronto, ON",Data Scientist
36,Napoleon Products,"Estimated: $62,000 - $90,000 a year",/jobsearch/viewjob/o9LPBlM9zPHeAf36sDxVx5WndSMSspQYOrUplt_Wgc1QiUyyqZjKmA?ak=data+science&l=,"— Barrie, ON",BI Data Analyst
37,Visual Defence Inc,"$45,000 - $55,000 a year",/jobsearch/viewjob/HBRcsGce9vz--_8ju-FicwLH9tJ2kVB1ra1qYGx1EGIWM7LjA_CjQQ?ak=data+science&l=,"— Richmond Hill, ON",Junior Data Scientist
38,QuadReal,"Estimated: $61,000 - $80,000 a year",/jobsearch/viewjob/6DWzSdip758tzuJmI9eDb-tdV-onIBMbCNiIw3eTenvbivwsx8mKNg?ak=data+science&l=,"— Toronto, ON","Intern, Data Scientist"
39,Bell Canada,"Estimated: $61,000 - $85,000 a year",/jobsearch/viewjob/EjW52B1ng8-YB7cAk_dpUMrJ3GvYh9bsLQjmKN4k2GhhANlIVY0qHQ?ak=data+science&l=,"— Montréal, QC","Developer, Machine Learning Engineering Python"
40,Prodigy Game,"Estimated: $46,000 - $67,000 a year",/jobsearch/viewjob/p7R4M7AQokJx6purQhVm8xrtuZfiDjvla3W2rexD21Xr9OD8QkMSCA?ak=data+science&l=,"— Oakville, ON","Data Scientist, Marketing & Web Analytics"
41,Just Order Enterprises Corp. (饭团),"Estimated: $61,000 - $82,000 a year",/jobsearch/viewjob/gFmgCJ1Ny3-Zsmvkzv_tOy0hhlc-_WlgM_wk36GeaXC2DzQKbZlb7g?ak=data+science&l=,"— Burnaby, BC",Data Scientist
42,PwC,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/7mr26AT3wfcBEVrvRaIsg8RVNr34ZtIhJ-C5Js2vr2gge8GSTBrmVQ?ak=data+science&l=,"— Toronto, ON","Analytics, Data Scientist, Associate"
43,Poros Career,"$48,000 - $55,000 a year",/jobsearch/viewjob/fqu-gJgG40C7DBSW8Z_2-OBwfM7AJiW-k9TGc1cqnNRasjK59hhnWw?ak=data+science&l=,"— North York, ON",Data Analyst
44,Laserbody M.D.,"Estimated: $58,000 - $75,000 a year",/jobsearch/viewjob/xIdCc3cqV-xVsp_jH1eqypR05AS-anIVeAiV4uvpNHfI845wGQS_Ag?ak=data+science&l=,"— Brampton, ON",Data Analyst – Business Intelligence & Analytics
45,Canadian Security Intelligence Service,"$89,000 - $110,000 a year",/jobsearch/viewjob/ZMqcuW8oBvyF0a6BSvcHFRRMoKWpnvTEACWoFMrWYOSrIDTYTz5tpw?ak=data+science&l=,"— Ottawa, ON",Data Scientist
46,Mastech InfoTrellis,"$60,000 - $110,000 a year",/jobsearch/viewjob/NJSamgMmSbsOGaf_wkPR5n4YlN0Z8RNRya3sMfoIm8hrvI8tTtaS7w?ak=data+science&l=,"— Ottawa, ON",Data Scientist
47,University Health Network,$56 an hour,/jobsearch/viewjob/J02IWsuzkiA_4Ok9Lyu3MNP0H1OjHP7FRqCZGV6uFNXdObFk7AEjhw?ak=data+science&l=,"— Toronto, ON","Project Manager, Data & Implementation Science"
48,nugget.ai,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/yeOUHPeKmF1HmT91bnSmfHM-d1TE1trttrwl3gwvmVPuC_D7CKmCgg?ak=data+science&l=,"— Toronto, ON",Data Scientist
49,TELUS,"Estimated: $75,000 - $100,000 a year",/jobsearch/viewjob/BZOuHSnXks2MtVY5zJ4R--ZZzREdsWcqZO6YyUlGStNMVx7HtwAQsw?ak=data+science&l=,"— Toronto, ON",Data Scientist
50,Overbond,"Estimated: $85,000 - $110,000 a year",/jobsearch/viewjob/zNKD87Z0xq1app-KICN6iNvgZs10ZYyrbDtMymoaF6tgtHzM-sWDTg?ak=data+science&l=,"— Toronto, ON",Data Scientist
51,Guestlogix,"Estimated: $54,000 - $79,000 a year",/jobsearch/viewjob/QqPkvugBNU54KfpSSQ7PmJVasHPjrAsWdv37ytCu5F0i25iieL3lAg?ak=data+science&l=,— Remote,Data Scientist
52,Uberflip,"Estimated: $72,000 - $96,000 a year",/jobsearch/viewjob/t3WshXOXink9LAghIOmLLZ9VuhNb3gPHwHZOW4_g6_Ae3pGMtd3FaQ?ak=data+science&l=,"— Toronto, ON",Data Science Manager
53,Traffic Tech Inc.,"Estimated: $57,000 - $83,000 a year",/jobsearch/viewjob/yLzUTjQ1uPr1j7DRhpHoZSlukMSa4TLDzgdDRMV8mgKAv89IqlYnyg?ak=data+science&l=,"— Mississauga, ON",Data Scientist
54,Gannett,"Estimated: $62,000 - $88,000 a year",/jobsearch/viewjob/jh1v82fyyi1xYhhgti-6jPvtWG26TW7SnVWMKP-8PocgExwS3QGDcQ?ak=data+science&l=,"— Toronto, ON",Data Scientist
55,La Capitale,"Estimated: $62,000 - $88,000 a year",/jobsearch/viewjob/5HX4WLRouqxSv0IvT4FR2yBI14fOVIs0sOIzw-HSFvQYV5nZ1dwCIg?ak=data+science&l=,,Directeur principal analytique avancée et intelligence artificielle
56,LGS-IBM Centre innovation client Montréal,"Estimated: $62,000 - $88,000 a year",/jobsearch/viewjob/WoPvuHm5nGB5CmjJmSnPAm2d5a2nQaGwH0ds_vG4IkWncgjRRt6GKg?ak=data+science&l=,,Événement recrutement virtuel : Architecte de Solutions IA / AI Solution architect
57,Reconnect Community Health Services,$17 an hour,/jobsearch/viewjob/kHWaWTWY8KAi7te5ZQyhR-Mllm_EjmwPHS8x-UGVxOj3ZquKNLXj7w?ak=data+science&l=,"— Toronto, ON",Decision Support Junior Analyst
58,Cofomo Inc.,$17 an hour,/jobsearch/viewjob/qf81YNy-ItxoQWRzYw3sxxrm9Aggq_cn0WFr2isTO4lJqET4YSYUkw?ak=data+science&l=,,"Scientifique de données, Analytique – Big Data"
59,AU-ZONE TECHNOLOGIES INC.,"Estimated: $98,000 - $140,000 a year",/jobsearch/viewjob/XBdYtsQk5KvWOvqE41U2fSdCR0l1hGTAqFsy3myyYxpk2eSMqjn-Aw?ak=data+science&l=,"— Calgary, AB",Full Stack Lead (Machine Learning) ID388
60,Sun Life Financial,"Estimated: $98,000 - $140,000 a year",/jobsearch/viewjob/9e2oyfpCCMdoKx8bl5g_Ynlvk84x74C9xEJ7K3yRzOg2ZCSfpOdULg?ak=data+science&l=,,Senior Data Scientist
61,University of Toronto,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/sTLBIgVptdGgIsUYMrcQsrY6FSPq1VnOK2jMlvrHkC7uX4xqJDUKjA?ak=data+science&l=,"— Toronto, ON",Assistant Professor - Data Science Computation
62,The University of Calgary,"Estimated: $70,000 - $99,000 a year",/jobsearch/viewjob/J3Vv6b5IKru4kdNdLacBchjx-mcenULFy-bsZhOHkmsh-Vr634Af6Q?ak=data+science&l=,"— Calgary, AB","Software and Data Systems Developer, Department of Physics and Astronomy, Faculty of Science"
63,Acensi SAS,"Estimated: $62,000 - $83,000 a year",/jobsearch/viewjob/NDQj_1kYRICfuPHNAD7dbUPbCX2uLA8t48Oo3lnd2yGw2vFgYjY2cQ?ak=data+science&l=,"— Bruxelles, MB",Data Scientist (F/M/X)
64,Compass Digital Labs,"Estimated: $56,000 - $73,000 a year",/jobsearch/viewjob/I0gGkz6d2k_Z7MTXG7zH7VPB-YiWC8tsiVzAI-VG3FJLMEpYfrMu6w?ak=data+science&l=,"— Mississauga, ON",Data Scientist (Decision Science)
65,Hopper,"Estimated: $96,000 - $140,000 a year",/jobsearch/viewjob/_WeK8DUoireG97-RHoGF0G5zeGahSliwC5Pno2xjbSe4UxWXWZUbMw?ak=data+science&l=,"— Toronto, ON",Data Scientist - Lodging Team
66,Advanced Analytics and Research Lab,"$65,000 - $160,000 a year",/jobsearch/viewjob/t79NMn-rB-4DNTh6V9CwXJvsaE9OMiPpkV7zF_gizjSKF0t1DmMImg?ak=data+science&l=,"— Toronto, ON",Analytics Consultant
